[0221/224529.408:ERROR:viz_main_impl.cc(170)] Exiting GPU process due to errors during initialization
[0221/224529.423:WARNING:gpu_process_host.cc(1205)] The GPU process has crashed 1 time(s)
[0221/224529.550:ERROR:viz_main_impl.cc(170)] Exiting GPU process due to errors during initialization
[0221/224529.559:WARNING:gpu_process_host.cc(1205)] The GPU process has crashed 2 time(s)
[0221/224535.328:INFO:CONSOLE(8)] "Uncaught ReferenceError: openNav is not defined", source: file:///C:/Users/rsh93/source/repos/rs30holl.github.io/home.html (8)
[0221/224536.215:INFO:CONSOLE(2)] "Uncaught ReferenceError: closeNav is not defined", source: file:///C:/Users/rsh93/source/repos/rs30holl.github.io/home.html (2)
[0221/224536.847:INFO:CONSOLE(2)] "Uncaught ReferenceError: closeNav is not defined", source: file:///C:/Users/rsh93/source/repos/rs30holl.github.io/home.html (2)
[0221/224537.135:INFO:CONSOLE(2)] "Uncaught ReferenceError: closeNav is not defined", source: file:///C:/Users/rsh93/source/repos/rs30holl.github.io/home.html (2)
[0221/224537.327:INFO:CONSOLE(2)] "Uncaught ReferenceError: closeNav is not defined", source: file:///C:/Users/rsh93/source/repos/rs30holl.github.io/home.html (2)
[0221/224616.163:INFO:CONSOLE(10)] "Uncaught ReferenceError: openNav is not defined", source: file:///C:/Users/rsh93/source/repos/rs30holl.github.io/home.html (10)
[0221/224616.679:INFO:CONSOLE(10)] "Uncaught ReferenceError: openNav is not defined", source: file:///C:/Users/rsh93/source/repos/rs30holl.github.io/home.html (10)
[0221/224626.699:INFO:CONSOLE(10)] "Uncaught ReferenceError: openNav is not defined", source: file:///C:/Users/rsh93/source/repos/rs30holl.github.io/home.html (10)
[0221/224627.083:INFO:CONSOLE(10)] "Uncaught ReferenceError: openNav is not defined", source: file:///C:/Users/rsh93/source/repos/rs30holl.github.io/home.html (10)
[0221/224627.419:INFO:CONSOLE(10)] "Uncaught ReferenceError: openNav is not defined", source: file:///C:/Users/rsh93/source/repos/rs30holl.github.io/home.html (10)
[0221/224627.659:INFO:CONSOLE(10)] "Uncaught ReferenceError: openNav is not defined", source: file:///C:/Users/rsh93/source/repos/rs30holl.github.io/home.html (10)
[0221/224644.651:INFO:CONSOLE(10)] "Uncaught ReferenceError: openNav is not defined", source: file:///C:/Users/rsh93/source/repos/rs30holl.github.io/home.html (10)
[0221/224644.812:INFO:CONSOLE(10)] "Uncaught ReferenceError: openNav is not defined", source: file:///C:/Users/rsh93/source/repos/rs30holl.github.io/home.html (10)
[0221/224645.275:INFO:CONSOLE(10)] "Uncaught ReferenceError: openNav is not defined", source: file:///C:/Users/rsh93/source/repos/rs30holl.github.io/home.html (10)
[0221/224725.787:INFO:CONSOLE(2)] "Uncaught TypeError: Cannot read property 'style' of null", source: file:///C:/Users/rsh93/source/repos/rs30holl.github.io/script.js (2)
[0221/224729.883:INFO:CONSOLE(2)] "Uncaught TypeError: Cannot read property 'style' of null", source: file:///C:/Users/rsh93/source/repos/rs30holl.github.io/script.js (2)
[0221/224730.091:INFO:CONSOLE(2)] "Uncaught TypeError: Cannot read property 'style' of null", source: file:///C:/Users/rsh93/source/repos/rs30holl.github.io/script.js (2)
[0221/224730.459:INFO:CONSOLE(2)] "Uncaught TypeError: Cannot read property 'style' of null", source: file:///C:/Users/rsh93/source/repos/rs30holl.github.io/script.js (2)
[0221/224730.619:INFO:CONSOLE(2)] "Uncaught TypeError: Cannot read property 'style' of null", source: file:///C:/Users/rsh93/source/repos/rs30holl.github.io/script.js (2)
[0221/224731.068:INFO:CONSOLE(2)] "Uncaught TypeError: Cannot read property 'style' of null", source: file:///C:/Users/rsh93/source/repos/rs30holl.github.io/script.js (2)
[0221/224739.640:INFO:CONSOLE(2)] "Uncaught TypeError: Cannot read property 'style' of null", source: file:///C:/Users/rsh93/source/repos/rs30holl.github.io/script.js (2)
[0221/224740.359:INFO:CONSOLE(2)] "Uncaught TypeError: Cannot read property 'style' of null", source: file:///C:/Users/rsh93/source/repos/rs30holl.github.io/script.js (2)
[0221/224740.815:INFO:CONSOLE(2)] "Uncaught TypeError: Cannot read property 'style' of null", source: file:///C:/Users/rsh93/source/repos/rs30holl.github.io/script.js (2)
[0221/232504.285:INFO:CONSOLE(11)] "Uncaught ReferenceError: closeNav is not defined", source: file:///C:/Users/rsh93/source/repos/rs30holl.github.io/index.html (11)
[0221/232504.850:INFO:CONSOLE(18)] "Uncaught ReferenceError: openNav is not defined", source: file:///C:/Users/rsh93/source/repos/rs30holl.github.io/index.html (18)
[0221/232505.337:INFO:CONSOLE(18)] "Uncaught ReferenceError: openNav is not defined", source: file:///C:/Users/rsh93/source/repos/rs30holl.github.io/index.html (18)
[0221/232520.922:INFO:CONSOLE(18)] "Uncaught ReferenceError: openNav is not defined", source: file:///C:/Users/rsh93/source/repos/rs30holl.github.io/index.html (18)
[0221/232521.693:INFO:CONSOLE(18)] "Uncaught ReferenceError: openNav is not defined", source: file:///C:/Users/rsh93/source/repos/rs30holl.github.io/index.html (18)
[0221/232522.014:INFO:CONSOLE(18)] "Uncaught ReferenceError: openNav is not defined", source: file:///C:/Users/rsh93/source/repos/rs30holl.github.io/index.html (18)
[0221/232522.221:INFO:CONSOLE(18)] "Uncaught ReferenceError: openNav is not defined", source: file:///C:/Users/rsh93/source/repos/rs30holl.github.io/index.html (18)
